adress,age,reg_date,price,实用面积,建筑面积,tdtr1uprice,tdtrlGuprice,tdtr1ltdayheldd,tdtr1ltperc
 皓畋 3座  17樓 D室, 3 ,10/05/18,$1435萬,529呎 ,-, $27131 ,-,-,-
  龍翔大廈  15樓 B室, 55 ,10/05/18,$710萬,598呎 ,850呎 , $11873 , $8353 ,[ 1992天,升27%]
  勝利道1號  19樓 C室, 9 ,10/05/18,$418萬,226呎 ,350呎 , $18496 , $11943 ,[ 2185天,升5%]
  全發大廈  十三樓 B室, 42 ,09/05/18,$400萬,288呎 ,420呎 , $13889 , $9524 ,[ 2759天,升153%]
 皓畋 7座  7樓 A室, 3 ,09/05/18,$3506萬,1046呎 ,-, $33513 ,-,-,-
 皓畋 7座  6樓 D室, 3 ,09/05/18,$1024萬,453呎 ,-, $22602 ,-,-,-
 皓畋 3座  1樓 C室 (連 平台), 3 ,09/05/18,$1447萬,550呎 ,-, $26314 ,-,-,-
  嘉豪軒  27樓 A室, 19 ,09/05/18,$2138萬,956呎 ,1368呎 , $22364 , $15629 ,[ 4312天,升149%]
 皓畋 3座  21樓 D室, 3 ,09/05/18,$1419萬,529呎 ,-, $26827 ,-,-,-
 ONE HOMANTIN 6座  17樓 D室, 3 ,09/05/18,$1743萬,696呎 ,-, $25042 ,-,-,-
 俊民苑 文宗閣 (E座)  九樓 5室, 39 ,09/05/18,$738萬,554呎 ,665呎 , $13321 , $11098 ,-,-
  加多利軒  3樓 A室, 2 ,09/05/18,$926萬,389呎 ,-, $23792 ,-,-,-
  文雅閣  6樓 A室, 31 ,09/05/18,$598萬,330呎 ,470呎 , $18121 , $12723 ,[ 7259天,升139%]
  明園  1樓 B室, 31 ,09/05/18,$1075萬,714呎 ,1147呎 , $15056 , $9372 ,[ 1171天,升46%]
 俊民苑 文雄閣 (G座)  四樓 8室, 39 ,09/05/18,$710萬,525呎 ,629呎 , $13524 , $11288 ,-,-
  太平花園  4樓 C室, 26 ,08/05/18,$526萬,304呎 ,460呎 , $17303 , $11435 ,[ 1787天,升72%]
  衛德臺  三樓 17號, 59 ,08/05/18,$1250萬,1032呎 ,-, $12112 ,-,-,-
 寶雲閣 2座  15樓 D室, 44 ,08/05/18,$1090萬,639呎 ,729呎 , $17058 , $14952 ,[ 1244天,升28%]
 寶雲閣 4座  5樓 D室, 44 ,08/05/18,$1060萬,639呎 ,729呎 , $16588 , $14540 ,[ 5828天,升382%]
  太平居  7樓 D室, 22 ,08/05/18,$578萬,320呎 ,466呎 , $18063 , $12403 ,[ 5750天,升325%]
 君柏 7座  18樓 A室, 4 ,08/05/18,$4357萬,1667呎 ,-, $26138 ,-,-,-
半山壹號 2期 富甲半山 半山徑12號  56樓 12號, 11 ,08/05/18,$2510萬,1137呎 ,1491呎 , $22076 , $16834 ,[ 3090天,升22%]
  瓊林別墅 (A-B座)  七樓 A1室, 54 ,08/05/18,$950萬,741呎 ,-, $12821 ,-,[ 2864天,升71%]
 皓畋 3座  3樓 D室, 3 ,08/05/18,$1252萬,529呎 ,-, $23675 ,-,-,-
 皓畋 3座  19樓 D室, 3 ,07/05/18,$1383萬,529呎 ,-, $26147 ,-,-,-
半山壹號 1期 半山徑30號  55樓 30號, 11 ,07/05/18,$2550萬,1252呎 ,1636呎 , $20367 , $15587 ,[ 3619天,升3%]
  棗梨雅道3號  30樓 B室, 5 ,07/05/18,$4410萬,1269呎 ,-, $34750 ,-,-,-
 俊民苑 文凱閣 (F座)  十三樓 5室, 40 ,07/05/18,$725萬,554呎 ,665呎 , $13087 , $10902 ,-,-
 君頤峰 8座  19樓 A室, 16 ,07/05/18,$3438萬,1321呎 ,1731呎 , $26026 , $19861 ,[ 4835天,升199%]
  德信園  16樓 D室, 55 ,07/05/18,$960萬,583呎 ,-, $16467 ,-,[ 1859天,升39%]
 皓畋 3座  5樓 D室, 3 ,07/05/18,$1265萬,529呎 ,-, $23904 ,-,-,-
 君柏 7座  20樓 B室, 4 ,07/05/18,$4519萬,1589呎 ,-, $28439 ,-,-,-
  太平閣  10樓 C室, 29 ,04/05/18,$518萬,299呎 ,-, $17324 ,-,[ 1095天,升32%]
半山壹號 1期 半山徑33號  51樓 33號, 11 ,04/05/18,$2523萬,1252呎 ,1636呎 , $20152 , $15422 ,[ 3621天,升7%]
 皓畋 3座  16樓 G室, 3 ,04/05/18,$2522萬,907呎 ,-, $27801 ,-,-,-
  勝利道1號  21樓 C室, 9 ,04/05/18,$430萬,226呎 ,350呎 , $19027 , $12286 ,[ 2177天,升5%]
  蔚景樓  二十五樓 F室, 45 ,04/05/18,$452萬,340呎 ,435呎 , $13294 , $10391 ,[ 3062天,升183%]
 君柏 7座  17樓 B室, 4 ,04/05/18,$4396萬,1589呎 ,-, $27668 ,-,-,-
 皓畋 3座  17樓 G室, 3 ,04/05/18,$2543萬,907呎 ,-, $28032 ,-,-,-
 皓畋 3座  18樓 E室, 3 ,04/05/18,$1421萬,565呎 ,-, $25157 ,-,-,-
 ONE HOMANTIN 6座  17樓 B室, 3 ,03/05/18,$1437萬,583呎 ,-, $24640 ,-,-,-
 皓畋 3座  22樓 B室, 3 ,03/05/18,$2134萬,696呎 ,-, $30658 ,-,-,-
 君頤峰 7座  16樓 B室, 16 ,03/05/18,$2160萬,931呎 ,1223呎 , $23201 , $17661 ,[ 2657天,升79%]
 恆信園 4期  12樓 B室, 49 ,03/05/18,$1268萬,766呎 ,-, $16554 ,-,[ 8260天,升197%]
  嘉樂苑  6樓 A室, 27 ,02/05/18,$628萬,411呎 ,607呎 , $15280 , $10346 ,-,-
 ONE HOMANTIN 3座  17樓 C室, 3 ,02/05/18,$1207萬,509呎 ,-, $23711 ,-,-,-
 欣圖軒 4座  16樓 H室, 22 ,02/05/18,$738萬,539呎 ,681呎 , $13692 , $10837 ,-,-
  勝利道1號  26樓 C室, 9 ,02/05/18,$426萬,226呎 ,350呎 , $18850 , $12171 ,[ 1942天,跌2%]
 皓畋 3座  11樓 D室, 3 ,30/04/18,$1311萬,529呎 ,-, $24786 ,-,-,-
 冠華園 A座  二十六樓 A3室, 55 ,30/04/18,$1200萬,1069呎 ,-, $11225 ,-,[ 334天,升11%]
 君柏 2座  6樓 A室, 4 ,30/04/18,$3679萬,1624呎 ,-, $22655 ,-,-,-
 君柏 7座  19樓 B室, 4 ,27/04/18,$4464萬,1589呎 ,-, $28093 ,-,-,-
  金富大廈  20樓 A3室, 40 ,27/04/18,$688萬,445呎 ,-, $15461 ,-,-,-
 ONE HOMANTIN 6座  11樓 D室, 3 ,26/04/18,$1687萬,696呎 ,-, $24233 ,-,-,-
  太和苑  十樓 251號, 58 ,26/04/18,$1278萬,1033呎 ,-, $12372 ,-,-,-
 君柏 7座  20樓 A室, 4 ,26/04/18,$4432萬,1667呎 ,-, $26588 ,-,-,-
  KADOORIA  6樓 123號, 4 ,26/04/18,$9478萬,2196呎 ,-, $43160 ,-,-,-
 ONE HOMANTIN 5座  10樓 B室, 3 ,26/04/18,$1165萬,495呎 ,-, $23531 ,-,-,-
 怡安閣 C座  7樓 C6室, 44 ,26/04/18,$904萬,707呎 ,831呎 , $12784 , $10876 ,[ 7071天,升248%]
  德星樓  7樓 C室, 55 ,26/04/18,$980萬,667呎 ,-, $14693 ,-,[ 3083天,升153%]
  華欣閣  16樓 C室, 41 ,25/04/18,$594萬,364呎 ,456呎 , $16313 , $13022 ,[ 1221天,升26%]
  麗晶樓  3樓 B室, 53 ,25/04/18,$1098萬,712呎 ,-, $15421 ,-,[ 7008天,升288%]
 太子閣 1座  六樓 D室, 48 ,25/04/18,$1560萬,1076呎 ,-, $14498 ,-,[ 7775天,升164%]
 皓畋 3座  12樓 D室, 3 ,25/04/18,$1380萬,529呎 ,-, $26080 ,-,-,-
 皓畋 3座  10樓 D室, 3 ,25/04/18,$1355萬,529呎 ,-, $25608 ,-,-,-
  恆懋大樓  12樓 87號, 57 ,25/04/18,$2000萬,1356呎 ,-, $14749 ,-,[ 3252天,升137%]
